,power_output,temp,power_out_prev,power_out_MA
2014-02-25 19:20:00,30,0.1715144198,0.6976744186,0.6976744186
2014-02-25 19:30:00,28,0.1571009264,0.6976744186,0.6976744186
2014-02-25 19:40:00,23,0.143974058,0.6511627907,0.6511627907
2014-02-25 19:50:00,19,0.1441566904,0.5348837209,0.5348837209
2014-02-25 20:00:00,21,0.1475406982,0.4418604651,0.4418604651
2014-02-25 20:10:00,19,0.1543119368,0.488372093,0.5279069767
2014-02-25 20:10:00,19,0.1543119368,0.4418604651,0.5069767442
2014-02-25 20:20:00,17,0.1553984474,0.4418604651,0.4813953488
2014-02-25 20:30:00,21,0.1614521889,0.3953488372,0.4511627907
2014-02-25 20:40:00,21,0.1679046177,0.488372093,0.4418604651
2014-02-25 20:50:00,19,0.1652883809,0.488372093,0.4395348837
2014-02-25 21:00:00,15,0.1645498985,0.4418604651,0.4302325581
2014-02-25 21:10:00,19,0.1810413307,0.3488372093,0.4348837209
2014-02-25 21:20:00,18,0.1816691056,0.4418604651,0.4348837209
2014-02-25 21:30:00,17,0.1808966401,0.4186046512,0.4395348837
2014-02-25 21:40:00,21,0.1848110282,0.3953488372,0.4279069767
2014-02-25 21:50:00,19,0.1780851937,0.488372093,0.4139534884
2014-02-25 22:00:00,19,0.1684305487,0.4418604651,0.4069767442
2014-02-25 22:10:00,16,0.1659078177,0.4418604651,0.4093023256
2014-02-25 22:20:00,15,0.1666864142,0.3720930233,0.4093023256
2014-02-25 22:30:00,16,0.1685868706,0.3488372093,0.4023255814
2014-02-25 22:40:00,16,0.1711869567,0.3720930233,0.3976744186
2014-02-25 22:50:00,19,0.1836975413,0.3720930233,0.3930232558
2014-02-25 23:00:00,15,0.1854635371,0.4418604651,0.3976744186
2014-02-25 23:10:00,15,0.1874619136,0.3488372093,0.3930232558
2014-02-25 23:20:00,19,0.1832615778,0.3488372093,0.3953488372
2014-02-25 23:30:00,21,0.1772822836,0.4418604651,0.4069767442
2014-02-25 23:40:00,17,0.1745150851,0.488372093,0.4093023256
2014-02-25 23:50:00,17,0.1671047206,0.3953488372,0.411627907
2014-02-26 00:00:00,20,0.158856517,0.3953488372,0.411627907
2014-02-26 00:10:00,17,0.1526872333,0.4651162791,0.4139534884
2014-02-26 00:20:00,17,0.1457141636,0.3953488372,0.4162790698
2014-02-26 00:30:00,19,0.1415553431,0.3953488372,0.4093023256
2014-02-26 00:40:00,16,0.1409981267,0.4418604651,0.3976744186
2014-02-26 00:50:00,16,0.1375417387,0.3720930233,0.3930232558
2014-02-26 01:00:00,16,0.1319961308,0.3720930233,0.3930232558
2014-02-26 01:10:00,16,0.1294546567,0.3720930233,0.3813953488
2014-02-26 01:20:00,15,0.1272144752,0.3720930233,0.3837209302
2014-02-26 01:30:00,17,0.1288947077,0.3488372093,0.376744186
2014-02-26 01:40:00,15,0.1344607754,0.3953488372,0.3651162791
2014-02-26 01:50:00,18,0.1386770167,0.3488372093,0.3604651163
2014-02-26 02:00:00,14,0.1446911697,0.4186046512,0.3558139535
2014-02-26 02:10:00,14,0.1386407915,0.3255813953,0.3488372093
2014-02-26 02:20:00,14,0.1335805101,0.3255813953,0.3418604651
2014-02-26 02:30:00,14,0.1406660041,0.3255813953,0.3348837209
2014-02-26 02:40:00,13,0.1476505999,0.3255813953,0.3186046512
2014-02-26 02:50:00,13,0.1503404433,0.3023255814,0.311627907
2014-02-26 03:00:00,12,0.1568288521,0.3023255814,0.2906976744
2014-02-26 03:10:00,10,0.1617800724,0.2790697674,0.2837209302
2014-02-26 03:20:00,12,0.1627318421,0.2325581395,0.2720930233
2014-02-26 03:30:00,9,0.1662017183,0.2790697674,0.2581395349
2014-02-26 03:40:00,11,0.1700535705,0.2093023256,0.2465116279
2014-02-26 03:50:00,9,0.1918397319,0.2558139535,0.2418604651
2014-02-26 04:00:00,8,0.1732525635,0.2093023256,0.2348837209
2014-02-26 04:10:00,9,0.1696122468,0.1860465116,0.2302325581
2014-02-26 04:20:00,11,0.1691807676,0.2093023256,0.2279069767
2014-02-26 04:30:00,10,0.1673028381,0.2558139535,0.2348837209
2014-02-26 04:40:00,10,0.1679128858,0.2325581395,0.2418604651
2014-02-26 04:50:00,9,0.1702532996,0.2325581395,0.2418604651
2014-02-26 05:00:00,15,0.1747937809,0.2093023256,0.2488372093
2014-02-26 05:10:00,12,0.1788898905,0.3488372093,0.2511627907
2014-02-26 05:20:00,11,0.180678343,0.2790697674,0.2465116279
2014-02-26 05:30:00,12,0.1850700698,0.2558139535,0.2395348837
2014-02-26 05:40:00,9,0.187310952,0.2790697674,0.2395348837
2014-02-26 05:50:00,7,0.1946159341,0.2093023256,0.2395348837
2014-02-26 06:00:00,8,0.2010969858,0.1627906977,0.2418604651
2014-02-26 06:10:00,10,0.2060744466,0.1860465116,0.2325581395
2014-02-26 06:20:00,10,0.2050653963,0.2325581395,0.2255813953
2014-02-26 06:30:00,10,0.2085195772,0.2325581395,0.2162790698
2014-02-26 06:40:00,11,0.2053688611,0.2325581395,0.2093023256
2014-02-26 06:50:00,9,0.2057089716,0.2558139535,0.2139534884
2014-02-26 07:00:00,7,0.2133574624,0.2093023256,0.2209302326
2014-02-26 07:10:00,9,0.2123891217,0.1627906977,0.2186046512
2014-02-26 07:20:00,11,0.2145629136,0.2093023256,0.2162790698
2014-02-26 07:30:00,10,0.2185177309,0.2558139535,0.211627907
2014-02-26 07:40:00,7,0.2230365962,0.2325581395,0.2162790698
2014-02-26 07:50:00,9,0.2209602339,0.1627906977,0.2162790698
